timestamp,location_id,activity_count,traffic_density
2025-01-01 00:00:00,1,21,Low
2025-01-01 01:00:00,1,10,Low
2025-01-01 02:00:00,1,23,Low
2025-01-01 03:00:00,1,10,Low
2025-01-01 04:00:00,1,23,Low
2025-01-01 05:00:00,1,13,Low
2025-01-01 06:00:00,1,30,Low
2025-01-01 07:00:00,1,81,High
2025-01-01 08:00:00,1,93,High
2025-01-01 09:00:00,1,89,High
2025-01-01 10:00:00,1,17,Low
2025-01-01 11:00:00,1,26,Low
2025-01-01 12:00:00,1,69,Medium
2025-01-01 13:00:00,1,39,Low
2025-01-01 14:00:00,1,44,Medium
2025-01-01 15:00:00,1,37,Low
2025-01-01 16:00:00,1,51,Medium
2025-01-01 17:00:00,1,105,High
2025-01-01 18:00:00,1,108,High
2025-01-01 19:00:00,1,119,High
2025-01-01 20:00:00,1,51,Medium
2025-01-01 21:00:00,1,50,Medium
2025-01-01 22:00:00,1,29,Low
2025-01-01 23:00:00,1,43,Medium
2025-01-02 00:00:00,1,10,Low
2025-01-02 01:00:00,1,6,Low
2025-01-02 02:00:00,1,8,Low
2025-01-02 03:00:00,1,8,Low
2025-01-02 04:00:00,1,15,Low
2025-01-02 05:00:00,1,38,Low
2025-01-02 06:00:00,1,18,Low
2025-01-02 07:00:00,1,99,High
2025-01-02 08:00:00,1,60,Medium
2025-01-02 09:00:00,1,88,High
2025-01-02 10:00:00,1,13,Low
2025-01-02 11:00:00,1,38,Low
2025-01-02 12:00:00,1,58,Medium
2025-01-02 13:00:00,1,68,Medium
2025-01-02 14:00:00,1,45,Medium
2025-01-02 15:00:00,1,35,Low
2025-01-02 16:00:00,1,40,Medium
2025-01-02 17:00:00,1,94,High
2025-01-02 18:00:00,1,101,High
2025-01-02 19:00:00,1,83,High
2025-01-02 20:00:00,1,42,Medium
2025-01-02 21:00:00,1,59,Medium
2025-01-02 22:00:00,1,40,Medium
2025-01-02 23:00:00,1,39,Low
2025-01-03 00:00:00,1,9,Low
2025-01-03 01:00:00,1,21,Low
2025-01-03 02:00:00,1,11,Low
2025-01-03 03:00:00,1,8,Low
2025-01-03 04:00:00,1,28,Low
2025-01-03 05:00:00,1,38,Low
2025-01-03 06:00:00,1,41,Medium
2025-01-03 07:00:00,1,123,High
2025-01-03 08:00:00,1,99,High
2025-01-03 09:00:00,1,75,Medium
2025-01-03 10:00:00,1,32,Low
2025-01-03 11:00:00,1,49,Medium
2025-01-03 12:00:00,1,49,Medium
2025-01-03 13:00:00,1,31,Low
2025-01-03 14:00:00,1,37,Low
2025-01-03 15:00:00,1,31,Low
2025-01-03 16:00:00,1,37,Low
2025-01-03 17:00:00,1,96,High
2025-01-03 18:00:00,1,104,High
2025-01-03 19:00:00,1,90,High
2025-01-03 20:00:00,1,38,Low
2025-01-03 21:00:00,1,46,Medium
2025-01-03 22:00:00,1,51,Medium
2025-01-03 23:00:00,1,47,Medium
2025-01-04 00:00:00,1,5,Low
2025-01-04 01:00:00,1,5,Low
2025-01-04 02:00:00,1,13,Low
2025-01-04 03:00:00,1,6,Low
2025-01-04 04:00:00,1,5,Low
2025-01-04 05:00:00,1,11,Low
2025-01-04 06:00:00,1,33,Low
2025-01-04 07:00:00,1,48,Medium
2025-01-04 08:00:00,1,46,Medium
2025-01-04 09:00:00,1,48,Medium
2025-01-04 10:00:00,1,12,Low
2025-01-04 11:00:00,1,19,Low
2025-01-04 12:00:00,1,45,Medium
2025-01-04 13:00:00,1,41,Medium
2025-01-04 14:00:00,1,22,Low
2025-01-04 15:00:00,1,7,Low
2025-01-04 16:00:00,1,10,Low
2025-01-04 17:00:00,1,63,Medium
2025-01-04 18:00:00,1,77,Medium
2025-01-04 19:00:00,1,60,Medium
2025-01-04 20:00:00,1,21,Low
2025-01-04 21:00:00,1,5,Low
2025-01-04 22:00:00,1,33,Low
2025-01-04 23:00:00,1,35,Low
2025-01-05 00:00:00,1,5,Low
2025-01-05 01:00:00,1,14,Low
2025-01-05 02:00:00,1,17,Low
2025-01-05 03:00:00,1,5,Low
2025-01-05 04:00:00,1,17,Low
2025-01-05 05:00:00,1,16,Low
2025-01-05 06:00:00,1,14,Low
2025-01-05 07:00:00,1,39,Low
2025-01-05 08:00:00,1,35,Low
2025-01-05 09:00:00,1,56,Medium
2025-01-05 10:00:00,1,27,Low
2025-01-05 11:00:00,1,5,Low
2025-01-05 12:00:00,1,46,Medium
2025-01-05 13:00:00,1,57,Medium
2025-01-05 14:00:00,1,5,Low
2025-01-05 15:00:00,1,31,Low
2025-01-05 16:00:00,1,5,Low
2025-01-05 17:00:00,1,78,Medium
2025-01-05 18:00:00,1,56,Medium
2025-01-05 19:00:00,1,80,High
2025-01-05 20:00:00,1,23,Low
2025-01-05 21:00:00,1,25,Low
2025-01-05 22:00:00,1,12,Low
2025-01-05 23:00:00,1,26,Low
2025-01-06 00:00:00,1,23,Low
2025-01-06 01:00:00,1,27,Low
2025-01-06 02:00:00,1,15,Low
2025-01-06 03:00:00,1,5,Low
2025-01-06 04:00:00,1,31,Low
2025-01-06 05:00:00,1,21,Low
2025-01-06 06:00:00,1,61,Medium
2025-01-06 07:00:00,1,107,High
2025-01-06 08:00:00,1,99,High
2025-01-06 09:00:00,1,102,High
2025-01-06 10:00:00,1,19,Low
2025-01-06 11:00:00,1,38,Low
2025-01-06 12:00:00,1,41,Medium
2025-01-06 13:00:00,1,65,Medium
2025-01-06 14:00:00,1,33,Low
2025-01-06 15:00:00,1,40,Medium
2025-01-06 16:00:00,1,45,Medium
2025-01-06 17:00:00,1,132,High
2025-01-06 18:00:00,1,124,High
2025-01-06 19:00:00,1,112,High
2025-01-06 20:00:00,1,54,Medium
2025-01-06 21:00:00,1,21,Low
2025-01-06 22:00:00,1,53,Medium
2025-01-06 23:00:00,1,48,Medium
2025-01-07 00:00:00,1,15,Low
2025-01-07 01:00:00,1,22,Low
2025-01-07 02:00:00,1,12,Low
2025-01-07 03:00:00,1,45,Medium
2025-01-07 04:00:00,1,31,Low
2025-01-07 05:00:00,1,26,Low
2025-01-07 06:00:00,1,43,Medium
2025-01-07 07:00:00,1,105,High
2025-01-07 08:00:00,1,66,Medium
2025-01-07 09:00:00,1,95,High
2025-01-07 10:00:00,1,18,Low
2025-01-07 11:00:00,1,48,Medium
2025-01-07 12:00:00,1,62,Medium
2025-01-07 13:00:00,1,48,Medium
2025-01-07 14:00:00,1,57,Medium
2025-01-07 15:00:00,1,56,Medium
2025-01-07 16:00:00,1,30,Low
2025-01-07 17:00:00,1,123,High
2025-01-07 18:00:00,1,120,High
2025-01-07 19:00:00,1,76,Medium
2025-01-07 20:00:00,1,20,Low
2025-01-07 21:00:00,1,46,Medium
2025-01-07 22:00:00,1,53,Medium
2025-01-07 23:00:00,1,44,Medium
2025-01-08 00:00:00,1,46,Medium
2025-01-08 01:00:00,1,23,Low
2025-01-08 02:00:00,1,7,Low
2025-01-08 03:00:00,1,26,Low
2025-01-08 04:00:00,1,18,Low
2025-01-08 05:00:00,1,22,Low
2025-01-08 06:00:00,1,26,Low
2025-01-08 07:00:00,1,94,High
2025-01-08 08:00:00,1,78,Medium
2025-01-08 09:00:00,1,99,High
2025-01-08 10:00:00,1,41,Medium
2025-01-08 11:00:00,1,29,Low
2025-01-08 12:00:00,1,68,Medium
2025-01-08 13:00:00,1,54,Medium
2025-01-08 14:00:00,1,54,Medium
2025-01-08 15:00:00,1,58,Medium
2025-01-08 16:00:00,1,47,Medium
2025-01-08 17:00:00,1,104,High
2025-01-08 18:00:00,1,107,High
2025-01-08 19:00:00,1,111,High
2025-01-08 20:00:00,1,55,Medium
2025-01-08 21:00:00,1,42,Medium
2025-01-08 22:00:00,1,50,Medium
2025-01-08 23:00:00,1,69,Medium
2025-01-09 00:00:00,1,25,Low
2025-01-09 01:00:00,1,22,Low
2025-01-09 02:00:00,1,24,Low
2025-01-09 03:00:00,1,6,Low
2025-01-09 04:00:00,1,9,Low
2025-01-09 05:00:00,1,30,Low
2025-01-09 06:00:00,1,36,Low
2025-01-09 07:00:00,1,106,High
2025-01-09 08:00:00,1,113,High
2025-01-09 09:00:00,1,91,High
2025-01-09 10:00:00,1,31,Low
2025-01-09 11:00:00,1,41,Medium
2025-01-09 12:00:00,1,37,Low
2025-01-09 13:00:00,1,44,Medium
2025-01-09 14:00:00,1,46,Medium
2025-01-09 15:00:00,1,34,Low
2025-01-09 16:00:00,1,55,Medium
2025-01-09 17:00:00,1,107,High
2025-01-09 18:00:00,1,90,High
2025-01-09 19:00:00,1,113,High
2025-01-09 20:00:00,1,46,Medium
2025-01-09 21:00:00,1,58,Medium
2025-01-09 22:00:00,1,57,Medium
2025-01-09 23:00:00,1,30,Low
2025-01-10 00:00:00,1,14,Low
2025-01-10 01:00:00,1,19,Low
2025-01-10 02:00:00,1,13,Low
2025-01-10 03:00:00,1,31,Low
2025-01-10 04:00:00,1,17,Low
2025-01-10 05:00:00,1,23,Low
2025-01-10 06:00:00,1,51,Medium
2025-01-10 07:00:00,1,99,High
2025-01-10 08:00:00,1,98,High
2025-01-10 09:00:00,1,98,High
2025-01-10 10:00:00,1,39,Low
2025-01-10 11:00:00,1,41,Medium
2025-01-10 12:00:00,1,54,Medium
2025-01-10 13:00:00,1,50,Medium
2025-01-10 14:00:00,1,40,Medium
2025-01-10 15:00:00,1,27,Low
2025-01-10 16:00:00,1,39,Low
2025-01-10 17:00:00,1,94,High
2025-01-10 18:00:00,1,117,High
2025-01-10 19:00:00,1,119,High
